********************************
*Task test instances (40 tasks)*
********************************

Each line of the file contains the following data:

		ID|SE|RE|WR|LO|TI

Where

		ID = ID of the task.
		SE = SEnsors required by the task.
		RE = REwards of task sensors.
		WR = Working Rates of task sensors.
		LO = LOcation of the task.
		TI = Temporal Information about the task [Priority, Duration, Discovering date, Starting date, Finishing date].

|ID     |SE             |RE             |WR                |LO                      |TI                           |
-------------------------------------------------------------------------------------------------------------------
|Task001|[1.0, 1.0, 1.0]|[6.0, 9.0, 4.0]|[0.65, 0.55, 0.60]|(002.00, 000.00, 000.00)|[09, 02, 00:00, 00:06, 00:17]|
|Task013|[1.0, 1.0, 1.0]|[7.0, 3.0, 4.0]|[0.85, 0.65, 0.20]|(013.00, 008.00, 000.00)|[00, 03, 00:01, 00:08, 00:18]|
|Task014|[1.0, 1.0, 1.0]|[5.0, 4.0, 3.0]|[0.35, 0.90, 0.65]|(016.00, 014.00, 000.00)|[03, 05, 00:01, 00:08, 00:22]|
|Task015|[1.0, 1.0, 1.0]|[1.0, 5.0, 6.0]|[0.65, 0.55, 0.95]|(008.00, 017.00, 000.00)|[07, 02, 00:01, 00:10, 00:18]|
|Task016|[1.0, 1.0, 1.0]|[1.0, 9.0, 8.0]|[0.50, 0.75, 0.65]|(008.00, 004.00, 000.00)|[00, 03, 00:01, 00:08, 00:17]|
|Task017|[1.0, 1.0, 1.0]|[3.0, 6.0, 3.0]|[0.20, 0.95, 0.35]|(012.00, 012.00, 000.00)|[00, 03, 00:01, 00:10, 00:19]|
|Task018|[1.0, 1.0, 1.0]|[1.0, 7.0, 6.0]|[1.00, 0.75, 0.20]|(009.00, 012.00, 000.00)|[05, 01, 00:01, 00:10, 00:20]|
|Task019|[1.0, 1.0, 1.0]|[7.0, 1.0, 5.0]|[0.20, 0.75, 0.60]|(002.00, 013.00, 000.00)|[06, 02, 00:01, 00:09, 00:18]|
|Task020|[1.0, 1.0, 1.0]|[5.0, 5.0, 6.0]|[0.85, 0.35, 0.20]|(006.00, 003.00, 000.00)|[09, 05, 00:01, 00:08, 00:20]|
|Task021|[1.0, 1.0, 1.0]|[6.0, 7.0, 1.0]|[0.45, 0.80, 0.70]|(017.00, 016.00, 000.00)|[01, 02, 00:02, 00:11, 00:22]|
|Task022|[1.0, 1.0, 1.0]|[2.0, 4.0, 3.0]|[0.35, 0.35, 0.05]|(019.00, 012.00, 000.00)|[03, 03, 00:02, 00:07, 00:16]|
|Task023|[1.0, 1.0, 1.0]|[8.0, 2.0, 2.0]|[0.90, 0.95, 0.80]|(006.00, 010.00, 000.00)|[08, 04, 00:02, 00:10, 00:22]|
|Task024|[1.0, 1.0, 1.0]|[7.0, 1.0, 7.0]|[0.90, 0.55, 0.10]|(017.00, 018.00, 000.00)|[01, 05, 00:02, 00:11, 00:22]|
|Task025|[1.0, 1.0, 1.0]|[2.0, 7.0, 5.0]|[0.20, 0.45, 0.95]|(017.00, 011.00, 000.00)|[04, 01, 00:02, 00:07, 00:16]|
|Task026|[1.0, 1.0, 1.0]|[5.0, 3.0, 6.0]|[1.00, 1.00, 0.05]|(008.00, 018.00, 000.00)|[08, 03, 00:02, 00:08, 00:16]|
|Task027|[1.0, 1.0, 1.0]|[9.0, 7.0, 5.0]|[0.75, 0.50, 0.30]|(019.00, 015.00, 000.00)|[03, 01, 00:03, 00:08, 00:16]|
|Task028|[1.0, 1.0, 1.0]|[2.0, 3.0, 6.0]|[0.90, 0.55, 0.40]|(009.00, 012.00, 000.00)|[03, 03, 00:03, 00:10, 00:18]|
|Task029|[1.0, 1.0, 1.0]|[7.0, 9.0, 4.0]|[0.40, 0.15, 0.60]|(013.00, 003.00, 000.00)|[04, 03, 00:03, 00:09, 00:18]|
|Task030|[1.0, 1.0, 1.0]|[1.0, 4.0, 6.0]|[1.00, 0.90, 0.90]|(017.00, 004.00, 000.00)|[06, 02, 00:03, 00:12, 00:23]|
|Task031|[1.0, 1.0, 1.0]|[8.0, 6.0, 2.0]|[0.75, 0.05, 0.40]|(010.00, 004.00, 000.00)|[00, 04, 00:03, 00:12, 00:22]|
|Task032|[1.0, 1.0, 1.0]|[3.0, 2.0, 8.0]|[0.30, 0.35, 0.05]|(019.00, 015.00, 000.00)|[05, 01, 00:03, 00:09, 00:16]|
|Task033|[1.0, 1.0, 1.0]|[2.0, 9.0, 4.0]|[0.85, 0.65, 0.30]|(015.00, 011.00, 000.00)|[02, 01, 00:03, 00:11, 00:20]|
|Task034|[1.0, 1.0, 1.0]|[5.0, 5.0, 7.0]|[0.30, 0.15, 0.90]|(004.00, 013.00, 000.00)|[07, 05, 00:03, 00:09, 00:21]|
|Task035|[1.0, 1.0, 1.0]|[7.0, 6.0, 8.0]|[0.60, 0.90, 0.65]|(015.00, 012.00, 000.00)|[00, 04, 00:04, 00:09, 00:22]|
|Task036|[1.0, 1.0, 1.0]|[1.0, 5.0, 9.0]|[0.25, 1.00, 0.75]|(013.00, 010.00, 000.00)|[04, 02, 00:04, 00:12, 00:21]|
|Task037|[1.0, 1.0, 1.0]|[9.0, 7.0, 4.0]|[0.05, 0.40, 0.75]|(012.00, 001.00, 000.00)|[08, 01, 00:04, 00:13, 00:19]|
|Task038|[1.0, 1.0, 1.0]|[2.0, 7.0, 5.0]|[0.05, 0.75, 0.40]|(018.00, 006.00, 000.00)|[01, 03, 00:04, 00:09, 00:20]|
|Task039|[1.0, 1.0, 1.0]|[4.0, 9.0, 3.0]|[0.10, 0.70, 0.75]|(012.00, 008.00, 000.00)|[06, 03, 00:04, 00:13, 00:24]|
|Task040|[1.0, 1.0, 1.0]|[7.0, 4.0, 3.0]|[0.20, 1.00, 0.70]|(010.00, 000.00, 000.00)|[08, 04, 00:04, 00:09, 00:22]|
SD = 0.0
