********************************
*Task test instances (50 tasks)*
********************************

Each line of the file contains the following data:

		ID|SE|RE|WR|LO|TI

Where

		ID = ID of the task.
		SE = SEnsors required by the task.
		RE = REwards of task sensors.
		WR = Working Rates of task sensors.
		LO = LOcation of the task.
		TI = Temporal Information about the task [Priority, Duration, Discovering date, Starting date, Finishing date].

|ID     |SE             |RE             |WR                |LO                      |TI                           |
|Task019|[1.0, 1.0, 1.0]|[7.0, 4.0, 3.0]|[0.85, 0.40, 0.85]|(000.00, 019.00, 000.00)|[08, 02, 00:02, 00:08, 00:17]|
|Task020|[1.0, 1.0, 1.0]|[6.0, 8.0, 5.0]|[0.35, 0.20, 0.60]|(001.00, 009.00, 000.00)|[00, 01, 00:02, 00:10, 00:18]|
|Task021|[1.0, 1.0, 1.0]|[1.0, 7.0, 6.0]|[0.65, 0.50, 0.30]|(016.00, 008.00, 000.00)|[08, 02, 00:02, 00:11, 00:20]|
|Task022|[1.0, 1.0, 1.0]|[8.0, 9.0, 2.0]|[0.25, 0.90, 0.80]|(018.00, 009.00, 000.00)|[09, 03, 00:02, 00:08, 00:17]|
|Task023|[1.0, 1.0, 1.0]|[8.0, 6.0, 7.0]|[0.55, 0.10, 0.35]|(002.00, 014.00, 000.00)|[01, 03, 00:02, 00:09, 00:21]|
|Task024|[1.0, 1.0, 1.0]|[6.0, 2.0, 6.0]|[0.35, 0.35, 0.95]|(008.00, 009.00, 000.00)|[04, 04, 00:02, 00:08, 00:19]|
|Task025|[1.0, 1.0, 1.0]|[8.0, 5.0, 4.0]|[1.00, 0.20, 0.10]|(010.00, 001.00, 000.00)|[03, 04, 00:02, 00:08, 00:17]|
|Task026|[1.0, 1.0, 1.0]|[4.0, 7.0, 1.0]|[0.15, 0.35, 0.60]|(013.00, 017.00, 000.00)|[04, 03, 00:02, 00:10, 00:20]|
|Task027|[1.0, 1.0, 1.0]|[5.0, 6.0, 3.0]|[0.85, 1.00, 1.00]|(005.00, 012.00, 000.00)|[09, 02, 00:02, 00:10, 00:17]|
|Task028|[1.0, 1.0, 1.0]|[7.0, 4.0, 2.0]|[0.25, 0.70, 0.10]|(004.00, 019.00, 000.00)|[02, 04, 00:02, 00:11, 00:20]|
|Task029|[1.0, 1.0, 1.0]|[9.0, 5.0, 3.0]|[0.15, 0.10, 0.80]|(013.00, 005.00, 000.00)|[00, 01, 00:02, 00:07, 00:14]|
|Task030|[1.0, 1.0, 1.0]|[8.0, 2.0, 9.0]|[0.75, 0.10, 0.10]|(008.00, 000.00, 000.00)|[05, 04, 00:03, 00:08, 00:17]|
|Task031|[1.0, 1.0, 1.0]|[9.0, 6.0, 2.0]|[0.85, 0.05, 0.65]|(016.00, 008.00, 000.00)|[09, 02, 00:03, 00:12, 00:23]|
|Task032|[1.0, 1.0, 1.0]|[9.0, 9.0, 2.0]|[0.95, 0.50, 0.25]|(017.00, 018.00, 000.00)|[05, 01, 00:03, 00:12, 00:20]|
|Task033|[1.0, 1.0, 1.0]|[9.0, 5.0, 4.0]|[0.35, 0.60, 0.95]|(013.00, 012.00, 000.00)|[00, 05, 00:03, 00:10, 00:23]|
|Task034|[1.0, 1.0, 1.0]|[7.0, 4.0, 5.0]|[0.35, 0.80, 0.25]|(015.00, 005.00, 000.00)|[07, 02, 00:03, 00:10, 00:21]|
|Task035|[1.0, 1.0, 1.0]|[4.0, 1.0, 3.0]|[0.25, 0.60, 0.45]|(010.00, 019.00, 000.00)|[06, 02, 00:03, 00:09, 00:17]|
|Task036|[1.0, 1.0, 1.0]|[1.0, 6.0, 5.0]|[0.15, 0.20, 0.70]|(007.00, 017.00, 000.00)|[05, 04, 00:03, 00:11, 00:24]|
|Task037|[1.0, 1.0, 1.0]|[7.0, 3.0, 3.0]|[0.70, 0.20, 0.35]|(007.00, 010.00, 000.00)|[01, 01, 00:03, 00:08, 00:14]|
|Task038|[1.0, 1.0, 1.0]|[3.0, 1.0, 2.0]|[0.60, 0.45, 0.85]|(016.00, 003.00, 000.00)|[00, 05, 00:04, 00:12, 00:24]|
|Task039|[1.0, 1.0, 1.0]|[4.0, 8.0, 5.0]|[0.55, 0.65, 0.90]|(014.00, 016.00, 000.00)|[00, 03, 00:04, 00:12, 00:21]|
|Task040|[1.0, 1.0, 1.0]|[5.0, 1.0, 5.0]|[0.80, 0.60, 0.30]|(003.00, 000.00, 000.00)|[05, 02, 00:04, 00:13, 00:24]|
|Task041|[1.0, 1.0, 1.0]|[3.0, 1.0, 7.0]|[0.80, 0.85, 0.10]|(000.00, 000.00, 000.00)|[01, 01, 00:04, 00:09, 00:15]|
|Task042|[1.0, 1.0, 1.0]|[1.0, 7.0, 5.0]|[0.60, 0.85, 0.15]|(012.00, 012.00, 000.00)|[09, 04, 00:04, 00:10, 00:22]|
|Task043|[1.0, 1.0, 1.0]|[7.0, 4.0, 8.0]|[0.85, 0.50, 0.15]|(017.00, 014.00, 000.00)|[07, 02, 00:04, 00:12, 00:19]|
|Task044|[1.0, 1.0, 1.0]|[8.0, 3.0, 6.0]|[0.40, 0.35, 0.85]|(009.00, 011.00, 000.00)|[02, 01, 00:04, 00:11, 00:21]|
|Task045|[1.0, 1.0, 1.0]|[9.0, 9.0, 6.0]|[0.80, 0.70, 0.95]|(010.00, 016.00, 000.00)|[04, 03, 00:04, 00:10, 00:18]|
|Task046|[1.0, 1.0, 1.0]|[2.0, 9.0, 3.0]|[0.60, 0.70, 0.80]|(014.00, 012.00, 000.00)|[04, 02, 00:04, 00:12, 00:23]|
|Task047|[1.0, 1.0, 1.0]|[2.0, 4.0, 6.0]|[0.15, 0.05, 0.15]|(007.00, 000.00, 000.00)|[05, 03, 00:04, 00:12, 00:24]|
|Task048|[1.0, 1.0, 1.0]|[1.0, 1.0, 5.0]|[0.80, 0.50, 0.65]|(011.00, 010.00, 000.00)|[00, 02, 00:04, 00:11, 00:21]|
|Task049|[1.0, 1.0, 1.0]|[9.0, 3.0, 2.0]|[0.20, 0.55, 0.05]|(012.00, 000.00, 000.00)|[02, 02, 00:04, 00:09, 00:20]|
|Task050|[1.0, 1.0, 1.0]|[7.0, 8.0, 8.0]|[0.55, 0.05, 0.75]|(000.00, 016.00, 000.00)|[02, 01, 00:04, 00:09, 00:17]|
SD = 0.0
